Participant_ID,age,backcount1,backcount10,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,bestgrade2,bestgrade3,bestgrade4,bestgrade5,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,div3filler,elm_01,elm_02,elm_03,elm_04,elm_05,ethnicity,gender,instructbig5,instructintrinsic,instructmli,instructnfc,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,kposition,kratio,lposition,lratio,major,mcdv1,mcdv2,mcfiller1,mcfiller2,mcfiller3,mcmost1,mcmost2,mcmost3,mcmost4,mcmost5,mcsome1,mcsome2,mcsome3,mcsome4,mcsome5,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nposition,nratio,pate_01,pate_02,pate_03,pate_04,pate_05,rposition,rratio,sarcasm,selfesteem_01,stress_01,stress_02,stress_03,stress_04,tempest1,tempest2,tempest3,tempfollowup1,tempfollowup2,tempfollowup3,vposition,vratio,worstgrade2,worstgrade3,worstgrade4,worstgrade5,year,Station,Temperatureinlab,OrderofTasks,ClipboardWeight,IIResponse,SRCondition,SRMeetingResponse,SRConfidenceResponse,SRTFCorrect,NumberofDays,Pool1,Pool2a,Pool2b,Pool2c,Pool2d,Pool2e,Pool3,Pool4,Pool5a,Pool5b,Pool6,Pool7a,Pool7b,Pool7c,Pool7d,Pool7e,Pool8,Pool9,Pool10,Pool11,Pool12,Pool13,Pool14,Pool15,Pool16a,Pool16b,Pool16c,Pool17,Pool18,Pool19a,Pool19b,Pool20,ClipBoardMaterial,Persistence,anagrams_order,attention_order,availinstruct_order,availk_order,availl_order,availn_order,availr_order,availv_order,bestgrade_order,bigfive_order,compcode_order,consent_order,debrief_order,demographics_order,elmques_order,elmstrong_order,elmweak_order,filler1_order,filler2_order,galinskyvignette_order,highpower_order,inlab_order,intrinsic_order,lowpower_order,mcfiller_order,mcmost_order,mcsome_order,moninvignette_order,mood_order,nfc_order,participantid_order,participation_order,selfesteem_order,startpage_order,stress_order,stroop_order,stroopinstructions_order,stroopinstructionstest_order,stroopprac_order,tempagenf_order,tempagenm_order,tempcomf_order,tempcomm_order,tempestimate_order,tempfollowup_order,welcome_order,worstgrade_order,MonthComputer,DayComputer,YearComputer,DaysSinceMonthComputer,DaysSinceAugComputer,MonthLab,DayLab,YearLab,DaysSinceMonthLab,DaysSinceAugLab,MonthStart,DayStart,YearStart,DaysSinceMonthStart,DaysSinceAugStart,DaysInComp,DaysInLab,AttentionCheck,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Intrinsic,Mood,NFC,ReportedAttention,ReportedEffort,SelfEsteem,Stress,PowerCond,MostEndorse,SomeEndorse,CredCond,Genderfactor,SubDistCond,K1st,L1st,N1st,R1st,V1st,AvailFirst,AvailSign,TempCond4,TempCond,TargetGender,ArgumentQuality,NFCcenter,ELMCond,CBReject
12,19,357,330.0,354,351,348,345,342,339,336.0,333.0,A - 97%,3.0,4.0,1.0,5.0,3.0,6.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,3 9 6 9 6 3 3 9,7.0,7.0,7.0,6.0,6.0,7,1,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,14,2.0,18,Exercise Science,0.0,3.0,1.0,0.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,1.0,6,4.0,4.0,1.0,1.0,1.0,2.0,15,4.0,4.0,3.0,2.0,3.0,4.0,room temperature,6.0,2.0,7.0,7.0,6.0,1.0,3,,,,,2,1,74.0,SR-II,20.0,6,C,Monday,5,,92,1,1,0,0,0,0,3.0,0.25,0.0,,0,1,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,113.0000025,17.0,28.0,7.0,12.0,11.0,8.0,9.0,10.0,2.0,33.0,,,36.0,35.0,26.0,25.0,,22.0,23.0,24.0,21.0,16.0,30.0,,14.0,,13.0,15.0,32.0,29.0,37.0,34.0,31.0,0.0,27.0,6.0,3.0,5.0,4.0,,,,18.0,20.0,19.0,1.0,,8.0,29.0,14.0,0.0,29.0,8.0,29.0,14,0.0,29.0,8,25,14,0,25,0.043478261,0.043478261,Pass,4.0,6.5,5.0,5.0,4.0,2.666666667,5.0,2.5,4.0,4.0,4.0,3.5,HighPower,,0.0,NoCredentials,Female,BestGrade,0.0,0.0,1.0,0.0,1.0,2.0,-,CommunalMale,Communal,MaleTarget,6.6,-0.682539683,1.0,0.0
13,18,357,330.0,354,351,348,345,342,339,336.0,333.0,,,,,3.0,5.0,7.0,7.0,2.0,7.0,2.0,1.0,1.0,7.0,3 9 6 9 6 3 3 9,9.0,9.0,9.0,9.0,9.0,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,1.0,4.0,2.0,4,2.0,8654,exercise science,0.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,2.0,5.0,1.0,3.0,2.0,1.0,1,5.0,5.0,1.0,1.0,2.0,1.0,8,3.0,1.0,4.0,2.0,2.0,5.0,75,6.0,4.0,7.0,7.0,1.0,1.0,8,C,7.0,7.0,10.0,1,1,74.0,II-SR,10.0,7,A,Monday,5,Yes,92,1,1,0,0,0,0,3.0,0.25,0.0,,0,1,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,153.9999989,2.0,30.0,13.0,16.0,18.0,17.0,14.0,15.0,,32.0,,,36.0,35.0,5.0,4.0,,20.0,21.0,22.0,19.0,23.0,28.0,,25.0,24.0,,26.0,33.0,27.0,37.0,31.0,29.0,0.0,34.0,9.0,6.0,8.0,7.0,,,,10.0,12.0,11.0,1.0,3.0,8.0,29.0,14.0,0.0,29.0,8.0,29.0,14,0.0,29.0,8,25,14,0,25,0.043478261,0.043478261,Pass,1.5,7.0,2.0,2.5,7.0,2.5333333330000003,7.0,2.333333333,5.0,5.0,1.0,4.25,HighPower,5.0,,Credentials,Female,WorstGrade,0.0,0.0,1.0,1.0,1.0,3.0,+,CommunalMale,Communal,MaleTarget,9.0,-0.849206349,1.0,0.0
14,18,357,130.0,354,351,248,245,242,139,136.0,133.0,,,,,7.0,6.0,7.0,5.0,7.0,3.0,7.0,1.0,7.0,2.0,"1,3,6,9",9.0,9.0,9.0,9.0,7.0,6,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,30,2.0,30,Nursing,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,2.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0,30,4.0,5.0,1.0,1.0,1.0,2.0,30,1.0,7.0,1.0,5.0,5.0,3.0,72 degrees F,7.0,3.0,7.0,7.0,6.0,2.0,30,C-,7.0,3.0,10.0,1,1,72.0,II-SR,20.0,7,A,Friday,5,Yes,92,1,1,0,0,0,0,3.0,0.25,0.0,,0,1,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,239.9999932,26.0,29.0,20.0,24.0,25.0,22.0,23.0,21.0,,27.0,,,36.0,35.0,19.0,18.0,,7.0,8.0,9.0,6.0,16.0,28.0,,14.0,13.0,,15.0,33.0,30.0,37.0,32.0,34.0,0.0,31.0,5.0,2.0,4.0,3.0,10.0,,,,12.0,11.0,1.0,17.0,9.0,2.0,14.0,31.0,33.0,9.0,2.0,14,31.0,33.0,8,25,14,0,25,0.086956522,0.086956522,Pass,6.5,7.0,6.0,4.5,3.0,3.133333333,6.5,3.666666667,4.0,5.0,7.0,1.5,HighPower,3.0,,Credentials,Female,WorstGrade,0.0,0.0,0.0,0.0,0.0,0.0,-,AgenticFemale,Agentic,FemaleTarget,8.6,0.484126984,1.0,0.0
16,18,357,330.0,354,351,348,345,342,339,336.0,333.0,A,2.0,5.0,1.0,5.0,5.0,7.0,3.0,6.0,5.0,7.0,2.0,5.0,3.0,"3,9,6",5.0,3.0,6.0,3.0,4.0,6,1,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3,2.0,35,Psychology,0.0,2.0,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,20,5.0,5.0,1.0,1.0,2.0,2.0,40,6.0,5.0,3.0,4.0,4.0,2.0,70,6.0,2.0,7.0,7.0,7.0,2.0,30,,,,,1,1,73.0,SR-II,20.0,7,B,Monday,4,Yes,92,1,1,0,0,0,0,3.0,0.25,0.0,,0,1,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,240.0000014,6.0,30.0,21.0,23.0,25.0,24.0,26.0,22.0,7.0,34.0,,,36.0,35.0,19.0,18.0,,9.0,10.0,11.0,,20.0,29.0,8.0,16.0,,15.0,17.0,33.0,31.0,37.0,27.0,32.0,0.0,28.0,5.0,2.0,4.0,3.0,,,,12.0,14.0,13.0,1.0,,9.0,2.0,14.0,31.0,33.0,9.0,2.0,14,31.0,33.0,8,25,14,0,25,0.086956522,0.086956522,Pass,5.5,6.5,4.0,5.0,3.0,2.666666667,6.0,3.5,5.0,5.0,5.0,2.25,LowPower,,0.0,NoCredentials,Female,BestGrade,1.0,0.0,0.0,0.0,0.0,1.0,-,CommunalMale,Communal,MaleTarget,4.2,0.317460317,1.0,0.0
19,18,357,330.0,354,351,348,345,342,339,336.0,333.0,A,10.0,1.0,1.0,3.0,4.0,5.0,6.0,3.0,5.0,2.0,1.0,4.0,5.0,3 9 6,6.0,7.0,5.0,6.0,7.0,6,1,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,7,1.0,13,Pre-med,1.0,2.0,2.0,0.0,2.0,,,,,,2.0,1.0,1.0,2.0,1.0,6.0,6.0,4.0,1.0,2.0,5.0,4.0,2.0,2.0,14,4.0,4.0,1.0,1.0,2.0,2.0,20,3.0,2.0,5.0,3.0,2.0,4.0,76,5.0,3.0,6.0,7.0,5.0,2.0,20,,,,,1,1,73.0,SR-II,10.0,6,A,Friday,5,Yes,92,1,1,0,0,0,0,3.0,0.25,0.0,,0,1,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,240.000002,9.0,27.0,14.0,18.0,19.0,15.0,17.0,16.0,4.0,28.0,,,36.0,35.0,3.0,,2.0,24.0,25.0,26.0,,10.0,32.0,23.0,12.0,,11.0,13.0,30.0,33.0,37.0,34.0,31.0,0.0,29.0,8.0,5.0,7.0,6.0,,20.0,,,22.0,21.0,1.0,,9.0,2.0,14.0,31.0,33.0,9.0,2.0,14,31.0,33.0,8,25,14,0,25,0.086956522,0.086956522,Pass,3.0,6.0,3.0,3.0,5.0,2.866666667,2.0,4.333333333,4.0,4.0,2.0,4.0,LowPower,,2.0,NoCredentials,Female,BestGrade,1.0,1.0,0.0,0.0,0.0,2.0,-,AgenticMale,Agentic,MaleTarget,6.2,1.1507936509999999,-1.0,0.0
20,19,357,330.0,354,351,348,345,342,339,336.0,333.0,A+,5.0,2.0,1.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,6.0,4.0,"3,9,6,9,6,3,3,9",7.0,7.0,8.0,7.0,8.0,6,2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,5,2.0,8,nursing,-1.0,-1.0,1.0,0.0,1.0,,,,,,1.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,10,4.0,4.0,1.0,1.0,2.0,1.0,10,5.0,5.0,3.0,4.0,3.0,3.0,78,6.0,3.0,7.0,7.0,6.0,2.0,5,,,,,1,1,74.0,SR-II,20.0,6,A,Friday,5,Yes,92,1,1,0,0,0,0,3.0,0.25,0.0,,0,1,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,240.000002,17.0,27.0,11.0,13.0,14.0,12.0,16.0,15.0,26.0,31.0,,,36.0,35.0,3.0,2.0,,20.0,21.0,22.0,19.0,18.0,32.0,,5.0,,4.0,6.0,30.0,34.0,37.0,29.0,33.0,0.0,28.0,10.0,7.0,9.0,8.0,,,,23.0,25.0,24.0,1.0,,9.0,4.0,14.0,31.0,35.0,9.0,4.0,14,31.0,35.0,8,25,14,0,25,0.10869565199999999,0.10869565199999999,Pass,4.5,5.0,3.0,4.0,3.5,2.266666667,4.0,2.666666667,4.0,4.0,5.0,2.75,HighPower,,1.0,NoCredentials,Male,BestGrade,1.0,0.0,0.0,1.0,0.0,2.0,-,CommunalMale,Communal,MaleTarget,7.4,-0.515873016,1.0,0.0
22,18,357,330.0,354,351,348,245,342,339,336.0,333.0,A,4.0,3.0,1.0,7.0,3.0,7.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,3906019339,6.0,3.0,1.0,4.0,5.0,6,1,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,4.0,2.0,15,1.0,8,Early Childhood Education,1.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,5.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,11,4.0,5.0,1.0,1.0,2.0,1.0,8,5.0,5.0,3.0,3.0,4.0,4.0,70,4.0,2.0,6.0,6.0,4.0,2.0,12,,,,,1,1,75.0,II-SR,20.0,7,B,Friday,4,Yes,92,1,1,0,0,0,0,3.0,0.25,0.0,,0,1,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,155.0000017,2.0,33.0,14.0,15.0,17.0,19.0,18.0,16.0,9.0,30.0,,,36.0,35.0,8.0,,7.0,11.0,12.0,13.0,10.0,23.0,31.0,,21.0,20.0,,22.0,32.0,34.0,37.0,28.0,29.0,0.0,27.0,6.0,3.0,5.0,4.0,24.0,,,,26.0,25.0,1.0,,9.0,4.0,14.0,31.0,35.0,9.0,4.0,14,31.0,35.0,8,25,14,0,25,0.10869565199999999,0.10869565199999999,Pass,5.0,6.0,7.0,5.5,4.0,2.933333333,3.0,3.0,4.0,5.0,5.0,3.0,,5.0,,Credentials,Female,BestGrade,0.0,1.0,0.0,1.0,0.0,2.0,-,AgenticFemale,Agentic,FemaleTarget,3.8,-0.182539683,-1.0,0.0
23,19,,330.0,354,351,348,345,342,339,336.0,333.0,98,5.0,4.0,1.0,4.0,3.0,6.0,4.0,7.0,2.0,7.0,3.0,7.0,4.0,"6,9",6.0,6.0,5.0,6.0,5.0,6,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,20,2.0,25,Intervention Specialist K-12,0.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,20,4.0,4.0,1.0,1.0,2.0,2.0,15,5.0,4.0,2.0,4.0,4.0,3.0,65,6.0,4.0,6.0,6.0,5.0,1.0,,,,,,1,1,75.0,SR-II,10.0,6,C,Friday,3,,92,1,1,0,0,0,0,3.0,0.25,0.0,,0,1,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,67.99999641,26.0,32.0,16.0,21.0,18.0,17.0,19.0,20.0,15.0,29.0,,,36.0,35.0,6.0,,5.0,23.0,24.0,25.0,22.0,14.0,31.0,,12.0,11.0,,13.0,34.0,33.0,37.0,30.0,27.0,0.0,28.0,10.0,7.0,9.0,8.0,,2.0,,,4.0,3.0,1.0,,9.0,5.0,14.0,31.0,36.0,9.0,5.0,14,31.0,36.0,8,25,14,0,25,0.11956521699999999,0.11956521699999999,Pass,5.5,5.5,5.0,6.0,2.5,2.4666666669999997,6.0,3.0,4.0,4.0,4.0,2.25,HighPower,5.0,,Credentials,Female,BestGrade,0.0,0.0,0.0,0.0,1.0,1.0,-,AgenticMale,Agentic,MaleTarget,5.6,-0.182539683,-1.0,0.0
24,18,357,330.0,354,351,348,345,342,339,336.0,333.0,A+,3.0,4.0,1.0,4.0,1.0,6.0,1.0,7.0,5.0,6.0,1.0,7.0,4.0,"3,9,6,1",7.0,6.0,7.0,8.0,6.0,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,4.0,2.0,2,2.0,20,Nursing,0.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,2.0,3.0,5.0,2.0,1.0,3.0,2.0,30,3.0,5.0,1.0,1.0,3.0,1.0,1,6.0,5.0,2.0,5.0,4.0,2.0,72,4.0,4.0,7.0,7.0,6.0,2.0,3,,,,,1,1,75.0,SR-II,20.0,7,C,Friday,5,,92,1,1,0,0,0,0,3.0,0.25,0.0,,0,1,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,212.0000087,21.0,29.0,5.0,6.0,9.0,10.0,7.0,8.0,11.0,34.0,,,36.0,35.0,16.0,,15.0,24.0,25.0,26.0,23.0,22.0,32.0,,3.0,2.0,,4.0,33.0,28.0,37.0,31.0,27.0,0.0,30.0,20.0,17.0,19.0,18.0,12.0,,,,14.0,13.0,1.0,,9.0,5.0,14.0,31.0,36.0,9.0,5.0,14,31.0,36.0,8,25,14,0,25,0.11956521699999999,0.11956521699999999,Pass,5.5,6.5,3.5,6.5,1.0,2.2,7.0,2.0,3.0,5.0,5.0,1.75,HighPower,5.0,,Credentials,Female,BestGrade,0.0,0.0,0.0,1.0,0.0,1.0,-,AgenticFemale,Agentic,FemaleTarget,6.8,-1.182539683,-1.0,0.0
27,20,357,330.0,354,351,348,345,342,339,336.0,333.0,,,,,7.0,5.0,6.0,6.0,6.0,2.0,6.0,1.0,4.0,4.0,3 9 6 9 6 3 3 9,6.0,6.0,5.0,7.0,5.0,6,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,0,2.0,2,Biolgy,1.0,2.0,1.0,0.0,1.0,,,,,,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2,5.0,4.0,1.0,1.0,1.0,1.0,3,5.0,5.0,4.0,3.0,3.0,4.0,68,7.0,3.0,7.0,6.0,4.0,1.0,2,C,5.0,1.0,10.0,2,1,71.0,SR-II,10.0,7,B,Monday,4,Yes,92,1,1,0,0,0,0,3.0,0.25,0.0,,0,1,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,240.000002,10.0,33.0,21.0,23.0,26.0,25.0,22.0,24.0,,28.0,,,36.0,35.0,12.0,,11.0,3.0,4.0,5.0,2.0,6.0,27.0,,14.0,,13.0,15.0,31.0,29.0,37.0,32.0,34.0,0.0,30.0,19.0,16.0,18.0,17.0,,7.0,,,9.0,8.0,1.0,20.0,9.0,9.0,14.0,31.0,40.0,9.0,9.0,14,31.0,40.0,8,25,14,0,25,0.16304347800000002,0.16304347800000002,Pass,5.0,6.5,6.5,4.5,5.0,2.5333333330000003,5.5,2.833333333,5.0,4.0,5.0,3.5,HighPower,,2.0,NoCredentials,Female,WorstGrade,1.0,0.0,0.0,1.0,1.0,3.0,+,AgenticMale,Agentic,MaleTarget,5.8,-0.34920634899999997,-1.0,0.0
